user_id,call_duration,data_usage,complaints,billing_amount,churn
613397,841,12.37,5,15,1
613398,232,4.72,1,81,0
613399,597,13.19,4,64,1
613400,893,4.92,5,72,1
613401,60,14.22,0,146,0
613402,859,5.75,0,148,0
613403,768,13.18,3,102,1
613404,28,1.5,4,132,1
613405,835,1.74,0,144,0
613406,73,5.18,5,148,1
613407,473,12.31,4,72,1
613408,772,14.37,3,77,1
613409,794,3.2,1,68,0
613410,35,13.89,2,53,0
613411,62,6.87,5,116,1
613412,382,6.4,1,72,0
613413,266,11.17,2,18,1
613414,616,12.84,3,122,1
613415,199,2.5,2,53,0
613416,472,2.69,4,27,1
613417,318,8.79,3,106,1
613418,268,2.15,2,19,1
613419,480,6.57,3,86,1
613420,526,6.49,1,123,0
613421,387,3.38,0,103,0
613422,62,1.88,3,79,1
613423,897,7.06,3,135,1
613424,307,8.27,0,47,0
613425,773,3.89,4,114,1
613426,563,13.8,3,63,1
613427,433,8.51,4,106,1
613428,440,9.22,5,57,1
613429,395,11.79,1,138,0
613430,543,2.3,3,47,1
613431,249,3.62,1,91,0
613432,697,8.34,4,115,1
613433,484,1.01,5,95,1
613434,324,0.45,1,67,0
613435,480,3.3,1,65,0
613436,523,5.13,3,64,1
613437,316,1.61,2,135,0
613438,465,12.79,5,45,1
613439,409,7.62,4,142,1
613440,553,3.3,3,21,1
613441,999,12.31,2,12,1
613442,359,13.42,4,79,1
613443,542,12.76,1,65,0
613444,756,3.98,1,127,0
613445,249,8.05,0,119,0
613446,975,6.48,1,26,1
613447,320,1.33,2,124,0
613448,454,0.9,1,84,0
613449,17,13.05,2,149,0
613450,432,8.31,5,21,1
613451,717,10.46,4,128,1
613452,416,4.65,4,127,1
613453,615,6.08,4,135,1
613454,427,5.19,4,43,1
613455,520,10.2,2,122,0
613456,179,14.36,0,78,0
613457,349,10.67,5,46,1
613458,322,11.29,3,23,1
613459,865,13.43,4,63,1
613460,110,1.75,5,147,1
613461,790,12.41,1,63,0
613462,88,12.21,2,72,0
613463,862,1.52,1,34,0
613464,453,2.89,2,33,0
613465,857,9.83,0,103,0
613466,564,11.16,5,27,1
613467,887,11.63,3,102,1
613468,582,8.28,3,88,1
613469,632,10.78,1,18,1
613470,390,14.85,5,105,1
613471,703,6.6,0,98,0
613472,663,10.12,1,124,0
613473,970,4.1,5,43,1
613474,108,7.39,5,111,1
613475,183,7.93,1,63,0
613476,709,1.16,5,124,1
613477,667,2.19,1,65,0
