user_id,call_duration,data_usage,complaints,billing_amount,churn
100001,654,13.34,5,124,1
100002,445,8.48,0,28,1
100003,411,7.15,3,35,1
100004,226,10.03,1,102,0
100005,991,13.86,3,146,1
100006,919,2.15,5,109,1
100007,35,7.16,2,121,0
100008,374,11.07,3,38,1
100009,458,10.15,4,20,1
100010,332,9.71,3,119,1
100011,454,13.08,5,19,1
100012,700,14.87,5,74,1
100013,243,13.47,3,63,1
100014,861,2.34,1,93,0
100015,745,12.04,1,141,0
100016,761,12.53,4,33,1
100017,22,4.2,5,19,1
100018,182,12.62,3,142,1
100019,405,12.61,2,14,1
100020,366,8.17,0,103,0
100021,993,9.21,5,137,1
100022,391,0.45,5,89,1
100023,282,2.37,4,138,1
100024,589,3.91,3,27,1
100025,535,0.8,0,20,1
100026,609,4.89,4,93,1
100027,289,8.33,0,79,0
100028,622,12.39,4,107,1
100029,683,13.49,0,40,0
100030,35,14.45,5,41,1
100031,836,14.96,5,52,1
100032,614,9.72,5,72,1
100033,495,13.04,0,52,0
100034,62,3.66,3,75,1
100035,661,10.68,4,15,1
100036,547,9.85,4,133,1
100037,53,11.4,0,90,0
100038,895,3.77,4,75,1
100039,290,12.07,0,77,0
100040,136,3.12,4,98,1
100041,455,9.09,5,103,1
100042,665,10.09,2,25,1
100043,487,0.46,1,81,0
100044,577,3.49,3,80,1
100045,476,10.78,5,131,1
100046,830,11.14,0,85,0
100047,176,14.34,2,57,0
100048,609,6.92,0,107,0
100049,54,7.58,1,89,0
100050,346,9.32,5,102,1
100051,333,13.91,1,120,0
100052,740,1.26,3,140,1
100053,68,6.28,3,23,1
100054,450,1.97,4,137,1
100055,634,13.0,4,106,1
100056,883,1.04,0,140,0
100057,46,4.2,0,45,0
100058,131,5.43,0,25,1
100059,296,10.95,2,60,0
100060,269,5.17,2,86,0
100061,517,3.9,5,142,1
100062,825,1.58,2,142,0
100063,986,5.36,1,83,0
100064,907,11.13,1,133,0
100065,39,4.51,4,16,1
100066,593,8.25,1,110,0
100067,89,11.01,3,117,1
100068,434,12.93,1,89,0
100069,390,13.69,3,126,1
100070,940,11.69,4,116,1
100071,124,5.72,3,96,1
100072,153,7.49,3,40,1
100073,62,9.02,3,150,1
100074,617,12.33,3,108,1
100075,916,14.12,0,108,0
100076,603,6.46,5,26,1
100077,279,11.24,3,17,1
100078,29,12.71,5,36,1
100079,564,11.95,4,42,1
100080,37,5.23,2,80,0
100081,383,10.31,4,53,1
100082,105,2.14,2,45,0
100083,914,9.2,0,40,0
100084,623,4.08,2,70,0
100085,184,8.22,2,51,0
100086,743,3.52,1,54,0
100087,278,9.8,1,54,0
100088,501,10.11,0,53,0
100089,263,2.47,3,13,1
100090,1000,10.24,5,34,1
100091,314,8.86,4,92,1
100092,257,0.57,4,128,1
100093,134,14.83,5,19,1
100094,769,0.68,2,38,0
100095,472,6.64,5,79,1
100096,191,6.74,1,18,1
100097,942,9.4,4,11,1
100098,81,7.03,2,77,0
100099,326,5.98,1,100,0
100100,829,13.24,5,143,1
100101,625,14.99,2,30,0
100102,238,2.02,5,19,1
100103,180,9.64,5,116,1
100104,347,7.1,1,67,0
100105,257,9.79,5,75,1
100106,926,12.45,5,22,1
100107,525,4.11,2,67,0
100108,982,1.5,5,11,1
100109,269,3.5,3,97,1
100110,414,6.32,5,96,1
100111,713,12.29,4,123,1
100112,254,4.71,1,22,1
100113,256,8.95,5,69,1
100114,754,10.61,5,49,1
100115,23,13.19,3,129,1
100116,542,12.53,3,122,1
100117,50,8.56,2,28,1
100118,585,1.34,1,85,0
100119,874,12.93,5,90,1
100120,421,14.24,5,12,1
100121,127,11.1,0,129,0
100122,453,6.18,2,86,0
100123,150,4.64,0,108,0
100124,355,8.53,3,19,1
100125,813,2.67,3,84,1
100126,999,6.19,3,113,1
100127,108,6.02,0,69,0
100128,938,10.08,2,91,0
100129,636,10.97,4,119,1
100130,85,0.48,2,44,0
100131,900,14.57,0,148,0
100132,734,0.83,4,119,1
100133,439,14.47,2,14,1
100134,121,4.33,5,12,1
100135,382,12.14,0,68,0
100136,537,8.69,4,76,1
100137,361,3.17,4,64,1
100138,277,14.8,3,78,1
100139,362,2.37,2,52,0
100140,268,11.39,1,58,0
100141,296,14.05,3,80,1
100142,913,4.32,0,65,0
100143,853,5.88,3,122,1
100144,518,6.52,2,20,1
100145,899,13.72,5,48,1
100146,670,7.38,0,109,0
100147,354,7.31,5,37,1
100148,587,12.57,5,119,1
100149,907,1.3,4,126,1
100150,941,9.1,4,77,1
100151,361,6.74,3,102,1
100152,817,2.16,1,37,0
100153,469,0.46,4,83,1
100154,141,2.47,1,149,0
100155,257,14.59,5,144,1
100156,562,13.99,3,44,1
100157,479,10.36,3,60,1
100158,356,0.93,3,62,1
100159,289,0.18,2,41,0
100160,357,11.4,2,58,0
100161,305,2.37,0,38,0
100162,459,12.11,1,103,0
100163,703,7.63,4,30,1
100164,609,11.53,3,53,1
100165,125,3.17,4,130,1
100166,516,11.19,1,51,0
100167,177,4.68,0,63,0
100168,659,1.91,4,19,1
100169,649,8.58,3,78,1
100170,544,7.84,4,39,1
100171,852,9.25,2,149,0
100172,654,5.1,4,138,1
100173,774,5.2,3,25,1
100174,100,3.56,4,63,1
100175,856,0.36,2,40,0
100176,887,1.32,2,77,0
100177,718,14.18,2,45,0
100178,919,13.21,1,44,0
100179,928,1.39,5,144,1
100180,833,12.11,1,109,0
100181,513,2.06,2,43,0
100182,820,10.74,4,56,1
100183,778,13.8,2,92,0
100184,417,12.29,3,99,1
100185,990,5.04,5,135,1
100186,196,4.32,1,130,0
100187,277,3.84,1,56,0
