user_id,call_duration,data_usage,complaints,billing_amount,churn
271141,729,2.74,0,76,0
271142,886,13.16,2,102,0
271143,903,9.14,2,123,0
271144,250,8.75,4,134,1
271145,94,7.45,5,150,1
271146,720,12.77,1,60,0
271147,417,3.29,2,137,0
271148,662,8.44,1,44,0
271149,708,5.56,5,68,1
271150,746,4.65,0,54,0
271151,721,11.53,5,95,1
271152,506,13.03,5,141,1
271153,441,8.93,4,78,1
271154,286,7.21,0,23,1
271155,808,6.13,5,34,1
271156,836,6.91,4,94,1
271157,670,13.54,2,113,0
271158,325,7.83,0,109,0
271159,97,1.94,2,33,0
271160,244,13.67,2,121,0
271161,63,8.51,2,125,0
271162,375,0.83,2,34,0
271163,992,5.61,2,93,0
271164,398,0.26,3,61,1
271165,790,14.65,4,15,1
271166,115,13.86,0,39,0
271167,124,6.79,0,14,1
271168,753,6.0,3,22,1
271169,335,10.54,0,69,0
271170,116,7.06,4,140,1
271171,403,3.54,0,83,0
271172,38,5.74,0,136,0
271173,347,3.63,3,67,1
271174,737,3.27,5,38,1
271175,253,11.23,5,144,1
271176,509,9.27,2,38,0
271177,409,7.12,0,22,1
271178,579,10.2,4,59,1
271179,622,9.31,0,92,0
271180,135,2.59,1,135,0
271181,574,2.14,0,26,1
271182,728,5.84,5,85,1
271183,11,9.37,1,135,0
271184,674,3.35,4,144,1
271185,110,12.51,1,120,0
271186,499,14.89,3,81,1
271187,976,9.24,3,96,1
271188,716,2.28,2,117,0
271189,710,14.54,0,114,0
271190,476,13.67,2,74,0
271191,393,9.78,2,10,1
271192,307,9.09,5,138,1
271193,307,5.97,3,124,1
271194,358,6.49,3,143,1
271195,860,12.73,5,114,1
271196,214,10.96,1,42,0
271197,164,2.61,1,27,1
271198,906,8.69,4,113,1
271199,911,10.14,3,81,1
271200,732,6.11,4,101,1
271201,506,14.93,1,126,0
271202,435,2.69,4,47,1
271203,983,8.19,2,13,1
271204,695,14.66,3,53,1
271205,54,1.25,3,144,1
271206,584,5.19,3,29,1
271207,888,5.1,1,58,0
271208,706,6.93,1,86,0
271209,941,3.12,1,77,0
271210,587,11.73,1,44,0
271211,165,9.44,4,33,1
271212,399,8.48,1,132,0
271213,698,6.64,5,42,1
271214,666,12.96,1,52,0
271215,741,10.09,5,62,1
271216,702,4.18,3,117,1
271217,517,5.5,1,13,1
271218,10,6.82,0,74,0
271219,982,4.88,0,58,0
271220,878,14.59,0,89,0
271221,757,10.08,0,64,0
271222,950,1.98,0,62,0
271223,341,14.85,1,102,0
271224,746,7.68,5,46,1
271225,757,2.21,3,119,1
271226,608,7.47,1,54,0
271227,403,11.38,1,83,0
271228,726,9.88,1,112,0
271229,758,14.6,5,52,1
271230,570,8.95,0,39,0
271231,297,6.49,3,65,1
271232,486,7.64,2,67,0
271233,958,8.73,0,138,0
271234,789,3.6,4,18,1
271235,431,7.17,1,79,0
271236,596,9.48,2,61,0
271237,76,12.01,0,29,1
271238,326,3.05,1,60,0
271239,726,0.65,5,55,1
271240,639,9.2,0,100,0
271241,543,11.02,2,105,0
271242,655,2.28,5,62,1
271243,37,9.91,0,128,0
271244,96,9.73,1,29,1
271245,793,12.52,4,82,1
271246,999,10.13,2,139,0
271247,136,1.86,0,121,0
271248,198,10.53,3,149,1
271249,587,12.55,0,82,0
271250,114,5.96,2,14,1
271251,598,4.47,3,112,1
271252,969,8.33,5,11,1
271253,274,4.49,3,109,1
271254,935,1.73,1,62,0
271255,260,7.49,2,133,0
271256,981,10.64,4,65,1
271257,706,1.21,5,32,1
271258,613,3.72,4,85,1
271259,644,6.14,0,74,0
271260,593,7.08,3,101,1
271261,250,11.27,0,12,1
271262,774,12.07,5,85,1
271263,955,10.01,3,82,1
271264,726,8.97,4,45,1
271265,397,9.15,1,65,0
271266,282,5.26,2,82,0
271267,168,0.54,2,66,0
271268,406,8.7,1,85,0
271269,386,3.36,0,104,0
