user_id,call_duration,data_usage,complaints,billing_amount,churn
955664,972,11.13,5,107,1
955665,684,9.23,1,39,0
955666,600,7.78,5,102,1
955667,316,11.91,1,19,1
955668,408,0.39,2,70,0
955669,135,7.62,4,83,1
955670,293,10.84,1,100,0
955671,698,7.06,4,140,1
955672,449,2.63,2,32,0
955673,228,10.94,1,15,1
955674,21,6.72,2,22,1
955675,355,11.5,5,24,1
955676,183,11.18,4,131,1
955677,191,2.77,3,132,1
955678,379,10.84,1,133,0
955679,910,3.33,5,55,1
955680,152,5.91,4,102,1
955681,502,13.52,3,112,1
955682,267,11.82,5,55,1
955683,464,3.93,1,19,1
955684,98,0.15,1,149,0
955685,540,7.94,0,140,0
955686,767,12.6,2,94,0
955687,590,0.38,4,124,1
955688,573,11.93,4,106,1
955689,366,2.78,3,122,1
955690,509,7.5,1,147,0
955691,696,13.49,4,42,1
955692,152,14.52,4,92,1
955693,937,1.06,2,144,0
955694,291,12.08,5,128,1
955695,843,11.94,2,129,0
955696,59,5.64,2,123,0
955697,396,6.69,3,37,1
955698,657,6.33,0,16,1
955699,252,2.76,5,24,1
955700,926,1.43,2,123,0
955701,678,7.29,5,23,1
955702,839,3.8,5,77,1
955703,135,12.58,4,32,1
955704,307,6.48,3,48,1
955705,968,13.83,1,105,0
955706,189,6.14,1,99,0
955707,61,14.87,4,90,1
955708,144,12.23,5,16,1
955709,358,4.99,3,136,1
955710,252,7.13,0,52,0
955711,464,13.89,1,129,0
955712,31,6.01,0,139,0
955713,942,2.23,0,29,1
955714,582,5.27,5,75,1
955715,912,3.7,0,105,0
955716,257,9.06,1,28,1
955717,823,4.75,1,83,0
955718,532,14.71,2,101,0
955719,788,2.2,4,66,1
955720,241,5.81,2,147,0
955721,287,14.91,5,117,1
955722,635,5.42,1,40,0
955723,75,0.16,3,28,1
955724,254,3.58,3,125,1
955725,320,6.55,2,86,0
955726,555,3.67,3,85,1
955727,863,3.79,4,59,1
955728,868,6.49,4,57,1
955729,22,12.84,4,52,1
955730,188,11.85,2,85,0
955731,87,9.83,5,76,1
955732,140,2.33,2,135,0
955733,774,4.17,5,83,1
955734,948,13.87,3,98,1
955735,382,1.91,4,105,1
955736,307,10.2,0,13,1
955737,856,2.65,1,26,1
955738,568,3.21,4,116,1
955739,29,10.45,0,126,0
955740,160,4.05,1,88,0
955741,967,7.02,4,17,1
955742,114,6.48,5,140,1
955743,622,10.58,5,122,1
955744,70,7.99,4,35,1
955745,800,12.0,4,72,1
955746,755,4.3,3,51,1
955747,749,2.47,0,104,0
955748,946,12.01,4,15,1
955749,236,11.44,4,111,1
955750,55,1.3,1,73,0
955751,993,10.52,5,32,1
955752,218,6.76,2,39,0
955753,47,1.25,2,129,0
955754,268,3.78,0,72,0
955755,709,2.99,2,125,0
955756,894,8.35,4,119,1
955757,107,1.24,1,104,0
955758,625,8.65,5,10,1
955759,766,1.84,5,127,1
955760,335,4.52,5,10,1
955761,905,13.3,0,27,1
955762,753,3.16,2,108,0
955763,996,15.0,4,36,1
955764,582,13.5,0,79,0
955765,479,1.36,5,14,1
955766,42,5.86,3,134,1
955767,852,2.69,5,37,1
955768,764,3.69,2,80,0
955769,98,14.8,4,115,1
955770,332,9.08,3,119,1
955771,157,0.64,2,11,1
955772,73,8.38,5,65,1
955773,214,4.87,0,37,0
955774,272,13.93,0,97,0
955775,915,3.96,0,52,0
